time,open,high,low,close,Volume
2014-11-03T09:45:00+07:00,1056.3,1059.8,1054,1055.5,30577
2014-11-03T13:45:00+07:00,1055,1055.4,1049.2,1052.8,35293
2014-11-04T09:45:00+07:00,1054.5,1056.9,1051.7,1056.3,24355
2014-11-04T13:45:00+07:00,1056.3,1059.1,1053,1059,28456
2014-11-05T09:45:00+07:00,1057,1058.2,1050.8,1053,33171
2014-11-05T13:45:00+07:00,1053.5,1055.1,1049.5,1052,32230
2014-11-06T09:45:00+07:00,1053.9,1056.8,1052.2,1053,25443
2014-11-06T13:45:00+07:00,1053.4,1056.3,1051.2,1055.8,23592
2014-11-07T09:45:00+07:00,1058.2,1059,1053.9,1056.2,22106
2014-11-07T13:45:00+07:00,1055.7,1056,1052,1052.7,28698
2014-11-10T09:45:00+07:00,1054.3,1055.1,1046.6,1047.1,36670
2014-11-10T13:45:00+07:00,1046.9,1047.6,1043,1043.4,28216
2014-11-11T09:45:00+07:00,1043.9,1052.5,1042.6,1052.4,37321
2014-11-11T13:45:00+07:00,1052.5,1052.8,1046.9,1049.6,30775
2014-11-12T09:45:00+07:00,1049,1052.7,1045.5,1050.7,25323
2014-11-12T13:45:00+07:00,1051,1051.8,1041.2,1043.2,38881
2014-11-13T09:45:00+07:00,1044.8,1047,1039.1,1046.8,36192
2014-11-13T13:45:00+07:00,1048,1058.8,1047.6,1058,60601
2014-11-14T09:45:00+07:00,1057.8,1059,1054.7,1057.1,28262
2014-11-14T13:45:00+07:00,1057.5,1058.4,1053.1,1054.2,22983
2014-11-17T09:45:00+07:00,1050.8,1053.8,1047.5,1051.1,29233
2014-11-17T13:45:00+07:00,1051,1053.2,1048.2,1048.5,24002
2014-11-18T09:45:00+07:00,1050.1,1058,1049.3,1057.7,30246
2014-11-18T13:45:00+07:00,1057.8,1065.4,1057.8,1059,59477
2014-11-19T09:45:00+07:00,1061,1061.7,1056.6,1058.7,32963
2014-11-19T13:45:00+07:00,1058.6,1060.6,1055.2,1057.4,19183
2014-11-20T09:45:00+07:00,1057.5,1058.5,1052.4,1054.1,19342
2014-11-20T13:45:00+07:00,1054.1,1054.1,1044.5,1044.8,41644
2014-11-21T09:45:00+07:00,1045.2,1053.2,1043,1051.5,28170
2014-11-21T13:45:00+07:00,1052.4,1056.5,1049.2,1056,30432
2014-11-24T09:45:00+07:00,1063.5,1065,1061.2,1063.5,27143
2014-11-24T13:45:00+07:00,1063.6,1066.7,1062.2,1066.3,24154
2014-11-25T09:45:00+07:00,1066.8,1068,1063.4,1065.4,24033
2014-11-25T13:45:00+07:00,1065.5,1076,1064.5,1075.8,41592
2014-11-26T09:45:00+07:00,1075,1077.8,1072.6,1075.9,24795
2014-11-26T13:45:00+07:00,1077,1077.5,1072.7,1075,24584
2014-11-27T09:45:00+07:00,1075.5,1080.7,1072.7,1078.8,26783
2014-11-27T13:45:00+07:00,1078.8,1080,1074.2,1079.8,23542
2014-11-28T09:45:00+07:00,1078.5,1078.9,1074.5,1078.1,19441
2014-11-28T13:45:00+07:00,1078.1,1079.7,1071,1074.5,28106
2014-12-01T09:45:00+07:00,1074.6,1077.3,1068,1076.1,39169
2014-12-01T13:45:00+07:00,1076,1076.2,1068.5,1071,26108
2014-12-02T09:45:00+07:00,1072,1074.4,1066,1068.1,32321
2014-12-02T13:45:00+07:00,1069.9,1073.3,1067.4,1072.3,30464
2014-12-03T09:45:00+07:00,1075,1075.9,1070.7,1070.9,27190
2014-12-03T13:45:00+07:00,1070.8,1072.9,1068.5,1072.5,23454
2014-12-04T09:45:00+07:00,1074,1074.9,1070.3,1073.1,15484
2014-12-04T13:45:00+07:00,1073.9,1075.8,1071.5,1072.8,23505
2014-12-08T09:45:00+07:00,1074,1074.9,1069.7,1071.3,26593
2014-12-08T13:45:00+07:00,1071.5,1072.5,1050.4,1051.9,68461
2014-12-09T09:45:00+07:00,1051.1,1055.9,1048.2,1052.8,40690
2014-12-09T13:45:00+07:00,1050.8,1051.6,1037.9,1040.5,67903
2014-12-11T09:45:00+07:00,1028.5,1031.5,1015,1020,64620
2014-12-11T13:45:00+07:00,1020.4,1024.8,1001.9,1018.4,82722
2014-12-12T09:45:00+07:00,1016.5,1019.3,1005.5,1013,54571
2014-12-12T13:45:00+07:00,1013,1016.7,1004.3,1005.8,46771
2014-12-15T09:45:00+07:00,990,997.6,976.5,979.5,71374
2014-12-15T13:45:00+07:00,980.6,992.9,874.2,986.4,170563
2014-12-16T09:45:00+07:00,971.3,972.9,921.6,964.2,122922
2014-12-16T13:45:00+07:00,963,983,956.8,969.9,95681
2014-12-17T09:45:00+07:00,972,980.8,966.9,979,62854
2014-12-17T13:45:00+07:00,979,986.5,975.1,982,53537
2014-12-18T09:45:00+07:00,998,1003.8,995.2,1001.8,41870
2014-12-18T13:45:00+07:00,1000.9,1016,997.7,1013.8,41719
2014-12-19T09:45:00+07:00,1025,1025.5,1004,1008.8,52075
2014-12-19T13:45:00+07:00,1009.2,1013.8,1000.2,1009.8,43158
2014-12-22T09:45:00+07:00,1016.5,1021.3,1014.2,1020,39139
2014-12-22T13:45:00+07:00,1019.4,1030.9,1016,1030,32956
2014-12-23T09:45:00+07:00,1026.5,1029,1024.7,1027.2,40484
2014-12-23T13:45:00+07:00,1025.4,1028.1,1018.6,1020.7,44116
2014-12-24T09:45:00+07:00,1024.8,1028.2,1022.8,1027.1,33983
2014-12-24T13:45:00+07:00,1027,1027.1,1014.8,1014.8,24033
2014-12-25T09:45:00+07:00,1013.9,1013.9,1007.2,1009.7,21236
2014-12-25T13:45:00+07:00,1009,1010.5,997,1005,21322
2014-12-26T09:45:00+07:00,1005.9,1008.2,996.6,999.3,16302
2014-12-26T13:45:00+07:00,999.1,1013.2,991,1012.8,22746
2014-12-29T09:45:00+07:00,1017,1017.7,1009.5,1012,8767
2014-12-29T13:45:00+07:00,1012,1014,999,999.5,10837
2014-12-30T09:45:00+07:00,989.1,995,980.1,988,40069
2014-12-30T13:45:00+07:00,986,992.9,984.2,988.8,31612
2015-01-05T09:45:00+07:00,985.3,996.9,985.1,989.9,33565
2015-01-05T13:45:00+07:00,988.5,988.9,978,982.3,45622
2015-01-06T09:45:00+07:00,972,974.5,961.8,964.5,51830
2015-01-06T13:45:00+07:00,965.5,976.5,964.5,974.3,49287
2015-01-07T09:45:00+07:00,974,984.1,972.5,983.4,37666
2015-01-07T13:45:00+07:00,983.9,997.9,980.1,995.3,50106
2015-01-08T09:45:00+07:00,1001.8,1008.9,1000,1005.6,36944
2015-01-08T13:45:00+07:00,1006,1012,1001.8,1008.4,42806
2015-01-09T09:45:00+07:00,1013.4,1013.4,1005,1008,28791
2015-01-09T13:45:00+07:00,1007.5,1012.2,1005.6,1011.4,23306
2015-01-12T09:45:00+07:00,1009,1018.8,1006,1014,34795
2015-01-12T13:45:00+07:00,1014,1019.6,991.6,1004.2,45921
2015-01-13T09:45:00+07:00,1005.8,1010.9,993.4,1007,59735
2015-01-13T13:45:00+07:00,1008,1015,1003.5,1014.2,36771
