time,open,high,low,close,Volume
2015-01-01T07:00:00+07:00,321,321,317.5,318.39,193.25124056
2015-01-01T11:00:00+07:00,318.39,318.39,312.6,315.7,932.75634262
2015-01-01T15:00:00+07:00,315.67,318.25,314.34,315.57,563.44146412
2015-01-01T19:00:00+07:00,315.57,317.37,313.24,313.24,571.05275516
2015-01-01T23:00:00+07:00,314.01,315.95,313.25,315.4,346.39578676
2015-01-02T03:00:00+07:00,315.39,316.55,313.6,313.81,480.5389648
2015-01-02T07:00:00+07:00,313.82,315.99,311.96,315.67,591.81288371
2015-01-02T11:00:00+07:00,315.65,315.99,312.02,312.02,485.42319955
2015-01-02T15:00:00+07:00,313.89,315.14,312.44,314.3,256.91494273
2015-01-02T19:00:00+07:00,314.93,317.01,314.3,315.03,584.01394023
2015-01-02T23:00:00+07:00,315.66,316.48,313.45,316.1,808.88194284
2015-01-03T03:00:00+07:00,316.2,316.83,313.5,315.42,740.54600176
2015-01-03T07:00:00+07:00,315.42,316.58,311.33,312.06,1101.98064763
2015-01-03T11:00:00+07:00,312.81,313.73,305.7,306.47,2697.63661154
2015-01-03T15:00:00+07:00,306.46,307.85,303.46,304.9,1549.19154487
2015-01-03T19:00:00+07:00,304.9,304.9,297,301.95,5116.92594075
2015-01-03T23:00:00+07:00,301.26,302.8,291.04,292,3494.19164783
2015-01-04T03:00:00+07:00,292,296.85,280,282,7792.79275351
2015-01-04T07:00:00+07:00,280,289.39,277,281.19,6423.51463508
2015-01-04T11:00:00+07:00,279.48,288.96,278,282.77,4305.80795583
2015-01-04T15:00:00+07:00,281.82,288.91,281.22,283.9,2790.89509004
2015-01-04T19:00:00+07:00,283.94,285.15,255,265,14424.35584496
2015-01-04T23:00:00+07:00,264.06,273.96,262.58,270.62,7772.1732818
2015-01-05T03:00:00+07:00,270.8,272,256.88,264,5724.53174495
2015-01-05T07:00:00+07:00,264.55,278.7,264.07,272.2,4570.68245872
2015-01-05T11:00:00+07:00,272.19,275.09,264.95,275.09,3553.31428489
2015-01-05T15:00:00+07:00,274.76,280,273.28,276.8,1404.27425833
2015-01-10T03:00:00+07:00,272.45,305,272.45,293.97,9914.24959425
2015-01-10T07:00:00+07:00,293.89,295,286,288.38,10943.9073801
2015-01-10T11:00:00+07:00,288.38,292.88,285.02,285.8,6778.01776829
2015-01-10T15:00:00+07:00,285.99,286.4,277.3,280,4335.26098786
2015-01-10T19:00:00+07:00,280.37,280.82,271.03,276.85,3485.78340296
2015-01-10T23:00:00+07:00,276.2,279.36,274.98,276,2169.21200006
2015-01-11T03:00:00+07:00,275.19,277.58,274.72,275.59,1736.59630582
2015-01-11T07:00:00+07:00,275.6,280.94,274.72,280,1614.35093449
2015-01-11T11:00:00+07:00,279.95,279.97,276.1,276.61,699.27089534
2015-01-11T15:00:00+07:00,276.87,279.62,275.4,278.44,1790.03956546
2015-01-11T19:00:00+07:00,278.61,280.33,271.7,272.4,1983.87925438
2015-01-11T23:00:00+07:00,272.4,274.29,267.11,268.48,3292.91151847
2015-01-12T03:00:00+07:00,268.51,270.34,262.08,266.39,3378.49687617
2015-01-12T07:00:00+07:00,266.34,270.9,264.39,270.38,1193
2015-01-12T11:00:00+07:00,270.88,272.39,268.02,269.98,1053
2015-01-12T15:00:00+07:00,269.98,270.92,263.54,268.52,1773
2015-01-12T19:00:00+07:00,269.14,272.2,266.5,270.71,2150
2015-01-12T23:00:00+07:00,270.7,272.43,268.32,271.76,2537
2015-01-13T03:00:00+07:00,271.78,272.08,266.5,267.42,1752
2015-01-13T07:00:00+07:00,267.1,268.15,244,244.89,9171
2015-01-13T11:00:00+07:00,244.92,252,240.4,245.69,7917
2015-01-13T15:00:00+07:00,245.69,247.16,220,220,11983
2015-01-13T19:00:00+07:00,219.94,235.97,216,232,10819
2015-01-13T23:00:00+07:00,232.06,239.09,226.07,237.71,7996
2015-01-14T03:00:00+07:00,237.71,238.29,217.11,227,12602
2015-01-14T07:00:00+07:00,227.01,230.89,216.8,219.55,4445
2015-01-14T11:00:00+07:00,219.29,220.83,152.4,185.05,25397
2015-01-14T15:00:00+07:00,184.59,215,175.01,190.65,32940
2015-01-14T19:00:00+07:00,190.62,208.11,186,194.68,19098
2015-01-14T23:00:00+07:00,194.99,195.49,174.01,182.02,24552
2015-01-15T03:00:00+07:00,182.35,186.58,161.1,171.41,17758
2015-01-15T07:00:00+07:00,172,205.56,168.5,190.94,15244
2015-01-15T11:00:00+07:00,190.94,198.74,189.47,194.81,5044
2015-01-15T15:00:00+07:00,195,214.9,192.81,212.17,13939
2015-01-15T19:00:00+07:00,212.13,233.9,209.25,220.48,23869
2015-01-15T23:00:00+07:00,220.88,224,210.06,212.67,9888
2015-01-16T03:00:00+07:00,212.67,218.97,192,210.98,15490
2015-01-16T07:00:00+07:00,210.69,221.77,206,221.71,5422
2015-01-16T11:00:00+07:00,221.01,222.47,210.4,217.76,3496
2015-01-16T15:00:00+07:00,217.76,223.15,213.08,216.44,6305
2015-01-16T19:00:00+07:00,216.44,216.44,198.85,206.69,9729
2015-01-16T23:00:00+07:00,207,210.2,198.04,208.89,5703
2015-01-17T03:00:00+07:00,208.89,210.23,204.5,208.03,4039
2015-01-17T07:00:00+07:00,208.02,212.84,205.97,209.95,1894
2015-01-17T11:00:00+07:00,209.89,210.32,198.99,200.61,5367
2015-01-17T15:00:00+07:00,201.44,205.03,192.17,198.48,6388
