time,open,high,low,close,Volume,Volume MA
2021-01-01T07:00:00+07:00,28999.63,29099,28774.64,29056.94,397.96477532,NaN
2021-01-01T08:00:00+07:00,29070.66,29543.93,29010.36,29479.12,648.59765202,NaN
2021-01-01T09:00:00+07:00,29484.39,29535.95,29189.34,29249.33,290.24263681,NaN
2021-01-01T10:00:00+07:00,29249.33,29414.48,29216.61,29345.63,284.14656757,NaN
2021-01-01T11:00:00+07:00,29351.85,29458.27,29121.8,29290.38,325.56570012,NaN
2021-01-01T12:00:00+07:00,29294.58,29300.15,29158.86,29242.1,293.43422916,NaN
2021-01-01T13:00:00+07:00,29242.1,29317.56,29156.48,29245.54,289.68695888,NaN
2021-01-01T14:00:00+07:00,29245.54,29253.61,28896.66,29173.17,403.49055764,NaN
2021-01-01T15:00:00+07:00,29179.01,29247.4,28947.7,29077.2,305.29762692,NaN
2021-01-01T16:00:00+07:00,29060.43,29390.85,29039.59,29282.62,306.83039588,NaN
2021-01-01T17:00:00+07:00,29282.62,29405.51,29234.25,29318.16,325.75112485,NaN
2021-01-01T18:00:00+07:00,29322.94,29490,29297.92,29390.34,264.25946444,NaN
2021-01-01T19:00:00+07:00,29390.34,29700,29233.4,29313.77,532.84678104,NaN
2021-01-01T20:00:00+07:00,29303.33,29555.16,29286.27,29538.92,311.65438227,NaN
2021-01-01T21:00:00+07:00,29550,29614.88,29339.22,29397.69,510.63620693,NaN
2021-01-01T22:00:00+07:00,29388.85,29460.17,29100,29261.96,426.77088054,NaN
2021-01-01T23:00:00+07:00,29261.96,29436.33,29175.01,29376.86,266.51631883,NaN
2021-01-02T00:00:00+07:00,29370.62,29419.98,29000,29162.36,408.85181263,NaN
2021-01-02T01:00:00+07:00,29162.36,29327.54,28720,29130.21,617.59322673,NaN
2021-01-02T02:00:00+07:00,29131.88,29213.05,29022,29131.54,452.95951406,383.15484063199995
2021-01-02T03:00:00+07:00,29108.67,29367.31,28947.7,29294.9,491.37323537,387.82526363449995
2021-01-02T04:00:00+07:00,29294.9,29385.21,29228.97,29247.92,266.87358263,368.73906016499996
2021-01-02T05:00:00+07:00,29255.87,29406,29197.08,29355.57,163.14633766,362.38424520749993
2021-01-02T06:00:00+07:00,29352.5,29434.27,29311.32,29402.64,196.97558626,358.0256961419999
2021-01-02T07:00:00+07:00,29410.77,29417.23,29050,29262.46,379.45668432,360.72024535199995
2021-01-02T08:00:00+07:00,29269.07,29495.22,29184.5,29446.93,318.81690957,361.9893793724999
2021-01-02T09:00:00+07:00,29451.97,29574.11,29400,29409.25,249.86206237,359.99813454699995
2021-01-02T10:00:00+07:00,29409.25,29464.96,29343.69,29432.47,147.06023681,347.17661850549996
2021-01-02T11:00:00+07:00,29435,29495.18,29310.5,29443.3,297.53924263,346.78869929099994
2021-01-02T12:00:00+07:00,29449.26,29686,29443.3,29676.2,299.31176939,346.4127679664999
2021-01-02T13:00:00+07:00,29686,29825,29571.57,29790.49,336.18854605,346.9346390264999
2021-01-02T14:00:00+07:00,29795.09,29895,29721.78,29834.26,351.40386901,351.2918592549999
2021-01-02T15:00:00+07:00,29829.59,29928,29721.62,29913.72,352.10788706,342.25491455599996
2021-01-02T16:00:00+07:00,29912.43,29990,29654,29688.04,351.19802211,344.23209654799996
2021-01-02T17:00:00+07:00,29666.79,29898.5,29543.93,29748.67,356.46706603,336.52363950299997
2021-01-02T18:00:00+07:00,29738.61,29849.38,29689.08,29822.42,282.58287671,329.3142393115
2021-01-02T19:00:00+07:00,29822.42,30958.06,29800,30668.76,1541.89780801,393.0833137705
2021-01-02T20:00:00+07:00,30663.43,31550,30552.86,31550,1208.8648617,433.08396622399994
2021-01-02T21:00:00+07:00,31550,31584.31,31144.78,31344.73,891.23828237,446.76621900600003
2021-01-02T22:00:00+07:00,31323.49,31886.42,30750,31782.96,964.87919661,472.36220313350003
2021-01-02T23:00:00+07:00,31758,33099.24,31757.37,32531.17,1957.61585701,545.6743342155
2021-01-03T00:00:00+07:00,32530.13,33022.44,32450,32914.41,650.38285425,564.8497977965001
2021-01-03T01:00:00+07:00,32909.86,33333,32511.62,33026.28,935.90467643,603.487714735
2021-01-03T02:00:00+07:00,33032.97,33268.37,32714.46,33080.5,699.99489592,628.638680218
2021-01-03T03:00:00+07:00,33082.29,33112.26,30000,30682.47,2448.24860432,732.078276218
2021-01-03T04:00:00+07:00,30674.72,31939.12,30228.73,31700,1766.26333859,804.4505976690001
2021-01-03T05:00:00+07:00,31696.74,32300,31452.94,32185.44,634.2205543,823.6685222655
2021-01-03T06:00:00+07:00,32179.06,32260.79,31634.16,32216.53,446.37279693,838.6341502715001
2021-01-03T07:00:00+07:00,32216.51,32518.88,31977.45,32485.72,338.79446501,840.6969113905001
2021-01-03T08:00:00+07:00,32450.3,32832.27,32259.86,32595.32,296.32478244,840.5475620430001
2021-01-03T09:00:00+07:00,32621.73,32911.22,32585.34,32746.89,168.78170609,832.1772200450001
2021-01-03T10:00:00+07:00,32784.01,32789.67,32479.91,32611.55,179.16360559,823.5652068740001
2021-01-03T11:00:00+07:00,32612.19,33268.37,32479.91,33213.84,285.22007213,820.2208161275
2021-01-03T12:00:00+07:00,33204.02,34182,33129.58,33725.07,1140.42843873,859.6823369585002
2021-01-03T13:00:00+07:00,33774.91,34116.76,33660.3,33992.16,579.22736652,870.8203519830001
2021-01-03T14:00:00+07:00,33978.02,34800,33779.72,34484.5,853.12819476,899.3476178855002
2021-01-03T15:00:00+07:00,34495.37,34652.95,33761.69,34380.28,551.69137174,849.8372960720002
2021-01-03T16:00:00+07:00,34386.79,34604.11,33831.66,34204.21,548.4213406,816.8151200170003
2021-01-03T17:00:00+07:00,34207.66,34378.7,33428.35,33907.43,626.10354299,803.5583830480002
2021-01-03T18:00:00+07:00,33884.04,34466.72,33807.11,34447.28,399.57018317,775.2929323760002
2021-01-03T19:00:00+07:00,34425.03,34622.67,33985,34144.71,343.04736938,694.5645079945002
2021-01-03T20:00:00+07:00,34121.88,34404.49,33834,33913.32,449.44038517,684.5173845405003
2021-01-03T21:00:00+07:00,33915.31,34192.68,33534.39,33924.68,582.88452658,666.8663770480003
2021-01-03T22:00:00+07:00,33894.5,33950,32793.03,33557.89,1087.86237427,686.2597509655004
2021-01-03T23:00:00+07:00,33549.05,33855.83,32000,32399.99,1675.03099756,647.5988706275003
2021-01-04T00:00:00+07:00,32399.99,33243.81,32327.76,32892.39,1190.98099522,618.8347534590002
2021-01-04T01:00:00+07:00,32938.22,33036.19,32252.26,32759.78,661.84415041,620.2159332645002
2021-01-04T02:00:00+07:00,32758.87,32905.1,32450,32775.76,391.0280509,617.4486959630002
2021-01-04T03:00:00+07:00,32744.07,33850,32723.66,33722.25,688.38163285,634.9280543550002
2021-01-04T04:00:00+07:00,33743.84,33872.26,33548.84,33585.4,218.15162546,631.0193965060001
2021-01-04T05:00:00+07:00,33576.44,33687.71,33029.84,33163.95,438.63894013,644.5122582080002
2021-01-04T06:00:00+07:00,33144.24,33629.4,32720.53,33097.83,466.4351624,658.8758360485001
2021-01-04T07:00:00+07:00,33068.83,33148.89,32450.97,32895.35,628.05992554,676.0178287190001
2021-01-04T08:00:00+07:00,32891.23,33360.89,32640.34,33239.84,277.20300824,632.8565571945002
2021-01-04T09:00:00+07:00,33217.79,33629.4,33011.39,33502.96,218.88712685,614.8395452110002
2021-01-04T10:00:00+07:00,33524.7,33593.25,33228.64,33593.17,217.74600577,583.0704357615002
2021-01-04T11:00:00+07:00,33590.85,33669.76,33249.25,33331.88,200.63210353,565.5174723510003
2021-01-04T12:00:00+07:00,33336.76,33390.8,32884.2,32884.55,220.57288385,549.1250495135002
2021-01-04T13:00:00+07:00,32910.35,33468.46,32889.66,33280.06,489.60330102,542.3000374150004
2021-01-04T14:00:00+07:00,33279.41,33300,31748.18,32092.71,1615.56246187,603.0996513500003
2021-01-04T15:00:00+07:00,32111.77,32557.9,31407.34,32044.41,897.35228788,630.8148972750002
2021-01-04T16:00:00+07:00,32026.23,32100,30261.13,31000,2224.62604506,719.5741802695003
2021-01-04T17:00:00+07:00,31009.39,31182.16,27734,30270,4537.35446155,917.2976770180003
2021-01-04T18:00:00+07:00,30286.76,30921.48,29402.55,30796.34,1798.27415862,952.8182662355002
2021-01-04T19:00:00+07:00,30796.48,31463,30461.85,31268.33,1269.36053661,932.5347431880003
2021-01-04T20:00:00+07:00,31243.73,31433,30600.5,31433,1059.27552163,925.9494695085002
2021-01-04T21:00:00+07:00,31433,32169.78,31433,32144.43,1054.57030768,945.5857773720003
2021-01-04T22:00:00+07:00,32147.25,32246.97,31581.04,31792.05,940.93988645,973.0813691495002
2021-01-04T23:00:00+07:00,31785.85,31939.12,30700,31298.75,1339.64901738,1005.6447383760003
2021-01-05T00:00:00+07:00,31340.03,31527.44,30600.01,31004.54,854.59095484,1037.4667048450005
2021-01-05T01:00:00+07:00,31016.44,31448,31000.58,31172.41,468.17402769,1038.9434592230004
2021-01-05T02:00:00+07:00,31179.5,31887.58,31118.69,31678.62,542.45608235,1042.7445052205005
2021-01-05T03:00:00+07:00,31686.83,31862.61,31219.68,31259.37,486.20935905,1035.6519768960004
2021-01-05T04:00:00+07:00,31285.8,31596.24,30884.42,31025.39,354.786069,1039.5311299340005
2021-01-05T05:00:00+07:00,31047.62,31490,30974.37,31360.23,238.90673427,1040.5321103050005
2021-01-05T06:00:00+07:00,31379.44,32054.24,31168.98,32005.88,512.14773875,1055.2521969540005
2021-01-05T07:00:00+07:00,32054.23,32874.39,32047.68,32489.99,761.31637145,1083.2864103500006
2021-01-05T08:00:00+07:00,32468.92,32825,32285.73,32811.75,340.32584597,1089.2740584560006
2021-01-05T09:00:00+07:00,32824.75,32850,32281.89,32346.97,339.38564041,1081.7631754255005
2021-01-05T10:00:00+07:00,32361.51,32578.35,31182.16,31183.83,745.5984088,1038.2649727720006
2021-01-05T11:00:00+07:00,31188.58,31558.37,30450,30882.16,890.51140252,1037.9229285040008
2021-01-05T12:00:00+07:00,30866.09,31369.7,30044.16,30428.92,819.20622358,967.6519374300009
2021-01-05T13:00:00+07:00,30456.11,31294.55,29936.26,31140.41,807.63848267,781.1661384860009
2021-01-05T14:00:00+07:00,31158.09,31332.1,30773.5,30838.53,454.30048122,713.9674546160009
2021-01-05T15:00:00+07:00,30820.66,31551.02,30820.66,31200.34,498.89089195,675.4439723830009
2021-01-05T16:00:00+07:00,31201.91,31810,31198.13,31573.13,331.16022358,639.0382074805009
2021-01-05T17:00:00+07:00,31588.59,31698.84,31126.65,31353.33,338.75464227,603.2474242100009
2021-01-05T18:00:00+07:00,31376.63,31817,31306.17,31810.58,389.58399928,575.6796298515009
2021-01-05T19:00:00+07:00,31820,32093.94,31609.42,31636.17,558.83683562,536.639020763501
2021-01-05T20:00:00+07:00,31639.12,31939.12,31479.42,31498,377.06438883,512.762692463001
