time,open,high,low,close,Volume,Volume MA
2018-08-06T23:00:00+07:00,406.7324,407.0011,403.2815,404.4791,21059.175952,NaN
2018-08-07T03:00:00+07:00,404.5258,407.9514,401.7242,405.3357,31387.740738,NaN
2018-08-07T07:00:00+07:00,405.3565,407.5209,403,405.3198,20784.644221,NaN
2018-08-07T11:00:00+07:00,405.2407,410.4148,404.7428,408.69,23801.058176,NaN
2018-08-07T15:00:00+07:00,408.6437,410.84,408.0332,409.7489,31004.614445,NaN
2018-08-07T19:00:00+07:00,410.1047,410.584,407.6774,409.0091,22747.741072,NaN
2018-08-07T23:00:00+07:00,409.2656,409.86,394.0812,394.8001,34012.34969,NaN
2018-08-08T03:00:00+07:00,394.7945,394.8498,369.1428,378.0842,97056.783278,NaN
2018-08-08T07:00:00+07:00,377.8345,380.2174,370.6579,376.4127,50843.242516,NaN
2018-08-08T11:00:00+07:00,376.4418,376.4418,367.8108,367.988,56634.529829,NaN
2018-08-08T15:00:00+07:00,367.9898,369.6782,364.9,368.6562,50398.026614,NaN
2018-08-08T19:00:00+07:00,368.934,369.567,356.813,366.8242,51064.787276,NaN
2018-08-08T23:00:00+07:00,366.9716,367.81,347,363.039,76403.411955,NaN
2018-08-09T03:00:00+07:00,362.8645,362.9788,349.8949,355.1947,33583.022717,NaN
2018-08-09T07:00:00+07:00,355.48,360.7082,354.6733,358.4605,32586.132122,NaN
2018-08-09T11:00:00+07:00,358.4626,363.12,357.6902,359.8711,28478.788278,NaN
2018-08-09T15:00:00+07:00,359.8707,360.6468,357.0605,358.004,25871.359869,NaN
2018-08-09T19:00:00+07:00,357.553,367.556,350.743,362.6758,50310.482964,NaN
2018-08-09T23:00:00+07:00,362.4745,364.4811,361.3492,361.9199,21018.451367,NaN
2018-08-10T03:00:00+07:00,361.8888,369.5617,361.2168,363.0704,41602.940497,40032.4641788
2018-08-10T07:00:00+07:00,363.0704,365.8779,357.7799,360.1805,37065.00713,40832.755737700005
