time,open,high,low,close,volume,volume_ma
2020-01-02T06:00:00+07:00,1517.111,1521.368,1517.111,1518.416,796,
2020-01-02T07:00:00+07:00,1518.416,1519.403,1518.202,1518.723,410,
2020-01-02T08:00:00+07:00,1518.723,1520.944,1517.336,1519.47,1035,
2020-01-02T09:00:00+07:00,1519.47,1520.993,1518.52,1520.724,420,
2020-01-02T10:00:00+07:00,1520.724,1521.22,1519.947,1520.421,216,
2020-01-02T11:00:00+07:00,1520.421,1520.51,1519.538,1519.538,159,
2020-01-02T12:00:00+07:00,1519.538,1520.442,1519.077,1520.326,403,
2020-01-02T13:00:00+07:00,1520.326,1521.062,1519.352,1521.062,554,
2020-01-02T14:00:00+07:00,1521.062,1521.502,1519.207,1519.291,837,
2020-01-02T15:00:00+07:00,1519.291,1521.064,1518.566,1520.894,1247,
2020-01-02T16:00:00+07:00,1520.894,1521.451,1519.687,1520.775,612,
2020-01-02T17:00:00+07:00,1520.775,1521.478,1519.793,1521.352,485,
2020-01-02T18:00:00+07:00,1521.352,1522.481,1521.298,1522.101,404,
2020-01-02T19:00:00+07:00,1522.101,1523.718,1521.697,1523.191,433,
2020-01-02T20:00:00+07:00,1523.191,1529.058,1522.841,1528.123,1856,
2020-01-02T21:00:00+07:00,1528.123,1530.6,1525.724,1526.428,2173,
2020-01-02T22:00:00+07:00,1526.428,1531.414,1525.918,1529.234,2202,
2020-01-02T23:00:00+07:00,1529.234,1529.292,1525.336,1525.592,1192,
2020-01-03T00:00:00+07:00,1525.592,1526.112,1522.898,1525.313,969,
2020-01-03T01:00:00+07:00,1525.313,1526.588,1524.993,1526.382,587,849.5
2020-01-03T02:00:00+07:00,1526.382,1526.99,1525.655,1526.824,446,832.0
2020-01-03T03:00:00+07:00,1526.824,1528.624,1526.572,1528.352,590,841.0
2020-01-03T04:00:00+07:00,1528.352,1529.114,1527.988,1529.108,205,799.5
2020-01-03T06:00:00+07:00,1529.108,1529.184,1528.035,1528.862,246,790.8
2020-01-03T07:00:00+07:00,1528.862,1530.716,1528.862,1530.638,399,799.95
2020-01-03T08:00:00+07:00,1530.638,1535.823,1530.015,1535.002,1071,845.55
2020-01-03T09:00:00+07:00,1535.002,1541.112,1532.754,1538.361,3448,997.8
2020-01-03T10:00:00+07:00,1538.361,1540.608,1537.849,1538.699,1184,1029.3
2020-01-03T11:00:00+07:00,1538.699,1539.722,1537.502,1538.855,628,1018.85
2020-01-03T12:00:00+07:00,1538.855,1543.906,1538.388,1541.524,1645,1038.75
2020-01-03T13:00:00+07:00,1541.524,1542.655,1541.147,1541.282,793,1047.8
2020-01-03T14:00:00+07:00,1541.282,1544.035,1540.26,1543.544,1805,1113.8
2020-01-03T15:00:00+07:00,1543.544,1545.392,1543.049,1544.405,1728,1180.0
2020-01-03T16:00:00+07:00,1544.405,1550.506,1544.279,1546.943,1707,1243.7
2020-01-03T17:00:00+07:00,1546.943,1549.676,1545.454,1548.577,1621,1231.95
2020-01-03T18:00:00+07:00,1548.577,1551.544,1548.015,1549.412,1341,1190.35
