time,open,high,low,close,volume,volume_ma
2021-01-01T07:00:00+07:00,736.34,739.11,729.3,734.06,4409.230977,
2021-01-01T08:00:00+07:00,734.05,749.25,733.42,748.45,8440.23831,
2021-01-01T09:00:00+07:00,748.52,749.23,742.61,744.33,5772.096764,
2021-01-01T10:00:00+07:00,744.44,747.44,743.56,744.95,2414.957141,
2021-01-01T11:00:00+07:00,745.32,747.18,739.74,742.21,3111.157183,
2021-01-01T12:00:00+07:00,742.83,743.18,739.72,740.65,2294.799732,
2021-01-01T13:00:00+07:00,740.9,743.5,737.4,739.97,2918.994566,
2021-01-01T14:00:00+07:00,739.99,740.83,734.57,737.27,4497.529098,
2021-01-01T15:00:00+07:00,737.39,738.56,725.35,730.2,8853.759306,
2021-01-01T16:00:00+07:00,730.0,734.87,729.09,733.92,3561.783638,
2021-01-01T17:00:00+07:00,733.86,739.19,733.5,736.95,3143.944108,
2021-01-01T18:00:00+07:00,737.09,742.25,736.43,738.97,3678.069115,
2021-01-01T19:00:00+07:00,738.97,744.08,732.14,732.98,10415.533887,
2021-01-01T20:00:00+07:00,732.98,742.25,732.93,740.47,6038.531489,
2021-01-01T21:00:00+07:00,740.35,742.84,736.23,738.29,3262.182439,
2021-01-01T22:00:00+07:00,737.96,739.8,733.37,735.42,3242.076061,
2021-01-01T23:00:00+07:00,735.59,737.73,733.0,736.06,2375.210713,
2021-01-02T00:00:00+07:00,735.83,736.49,726.67,727.5,6620.878692,
2021-01-02T01:00:00+07:00,727.66,731.58,715.0,724.5,9293.293599,
2021-01-02T02:00:00+07:00,724.5,728.35,720.91,725.69,3123.365841,4873.38163295
2021-01-02T03:00:00+07:00,725.46,730.69,722.1,729.63,3536.464537,4829.74331095
2021-01-02T04:00:00+07:00,729.6,730.6,726.63,728.01,2199.982293,4517.730510099999
2021-01-02T05:00:00+07:00,728.01,731.99,726.0,729.22,826.932993,4270.472321549999
2021-01-02T06:00:00+07:00,729.02,730.6,727.78,729.26,2196.99668,4259.574298499998
2021-01-02T07:00:00+07:00,729.14,730.15,716.15,719.9,6450.820144,4426.557446549998
2021-01-02T08:00:00+07:00,719.93,732.3,714.58,729.48,5889.861791,4606.310549499998
2021-01-02T09:00:00+07:00,729.68,734.48,729.29,729.44,2806.350359,4600.678339149999
2021-01-02T10:00:00+07:00,729.54,732.01,728.74,730.29,1527.109436,4452.157356049998
2021-01-02T11:00:00+07:00,730.01,730.94,726.41,729.82,1594.948488,4089.216815149998
2021-01-02T12:00:00+07:00,729.83,733.75,729.53,732.25,2285.002265,4025.3777464999994
2021-01-02T13:00:00+07:00,732.25,740.95,730.81,736.9,4684.306715,4102.395876849999
2021-01-02T14:00:00+07:00,737.49,738.94,733.45,735.32,2517.539081,4044.369375149998
2021-01-02T15:00:00+07:00,735.38,738.5,728.62,734.12,2817.782337,3664.481797649998
2021-01-02T16:00:00+07:00,734.15,734.49,722.44,725.13,3720.574504,3548.583948399998
2021-01-02T17:00:00+07:00,725.1,734.24,722.81,728.54,3758.353277,3573.3924902999984
2021-01-02T18:00:00+07:00,728.61,731.38,727.51,729.92,1107.181622,3466.647768349999
2021-01-02T19:00:00+07:00,729.77,756.87,728.61,752.49,16014.658681,4148.620166749999
2021-01-02T20:00:00+07:00,752.54,772.85,749.4,770.62,15649.280814,4600.040272849999
2021-01-02T21:00:00+07:00,770.58,771.05,753.61,761.02,6745.048879,4472.628036849999
2021-01-02T22:00:00+07:00,761.22,769.09,761.01,768.69,4331.463489,4533.032919249999
2021-01-02T23:00:00+07:00,768.92,783.0,764.41,782.19,14404.456215,5076.432503149998
2021-01-03T00:00:00+07:00,782.1,784.79,774.01,778.48,6541.942052,5293.530491099999
2021-01-03T01:00:00+07:00,778.83,784.47,771.74,779.7,3585.520351,5431.459858999999
2021-01-03T02:00:00+07:00,780.0,787.41,777.0,784.16,3766.231835,5509.921616749999
2021-01-03T03:00:00+07:00,784.8,785.4,755.2,758.39,9453.893235,5660.075271299998
2021-01-03T04:00:00+07:00,758.28,771.24,754.0,769.24,6097.918901,5670.478126799999
2021-01-03T05:00:00+07:00,769.07,774.43,765.25,772.15,1337.35088,5597.028152849998
2021-01-03T06:00:00+07:00,772.12,777.63,763.8,774.36,4671.01851,5754.223606549998
2021-01-03T07:00:00+07:00,774.32,778.79,770.75,776.42,3414.076638,5845.180014049998
2021-01-03T08:00:00+07:00,776.05,778.91,772.56,776.74,2703.299631,5866.094882349998
2021-01-03T09:00:00+07:00,776.91,781.53,775.64,778.99,2509.586616,5757.358877399998
2021-01-03T10:00:00+07:00,778.99,779.25,771.53,772.49,3034.456791,5783.204762899999
2021-01-03T11:00:00+07:00,772.37,778.65,768.82,777.98,2499.245351,5767.277913599999
2021-01-03T12:00:00+07:00,777.72,790.49,776.4,786.41,11695.684644,6166.033420599999
2021-01-03T13:00:00+07:00,786.47,802.14,783.92,799.8,8521.015184,6404.166515949999
2021-01-03T14:00:00+07:00,799.99,805.65,794.94,799.49,6978.282693,6697.721569499998
